ID,Title,Author,Genre,Description,SE_Description,URL,AccessionNo,BookType,SubjectNo,Publisher,Price,Currency,Pages,Language,CupboardNo,RackNo,Branch,YearOfPublication,BarcodePrint,IndexPrev,Page1Prev,Page2Prev,Page3Prev,SellerInfo,SellerContact,AddedBy,TimeOfEntry,Remark
744,"Sanskrit - English Dictionary","Apte Vaman  Shivram",NULL,NULL,NULL,NULL,78460,1,"030 / APTE","Jain, Delhi ",6.00,₹,664,2,2070,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
745,"Maxim Gorky","Lunacharsky Anatoly",NULL,NULL,NULL,NULL,78461,1,"823 /LUN",Moscow,11.25,₹,516,2,960,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
746,"Krishnamurti The Man In Revolt ","Niel Andre",NULL,NULL,NULL,NULL,78462,1,"828 / NIE","Bombay ",3.50,₹,109,2,1140,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
747,"Bernard Shaw","Sharma P D ",NULL,NULL,NULL,NULL,78463,1,"808 1 / SHA","Lucknow Pub  House ",4.50,₹,134,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
748,"Alexander Pushkin: Selected Works in Two Volumes","Pushkin Alexander",NULL,NULL,NULL,NULL,78464,1,"808 1 /PUS","Moscow ",9.00,₹,208,2,1220,5,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
749,"David Copperfield","Charles Dickens","Classics, Fiction, Literature, Historical, Historical Fiction, Literature, 19th Century, Novels, European Literature, British Literature, Classics, Classic Literature, Historical, Victorian, Audiobook","David Copperfield is the story of a young man's adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful novelist. Among the gloriously vivid cast of characters he encounters are his tyrannical stepfather, Mr Murdstone; his brilliant, but ultimately unworthy school-friend James Steerforth; his formidable aunt, Betsey Trotwood; the eternally humble, yet treacherous Uriah Heep; frivolous, enchanting Dora Spenlow; and the magnificently impecunious Wilkins Micawber, one of literature's great comic creations. In David Copperfield - the novel he described as his 'favourite child' - Dickens drew revealingly on his own experiences to create one of the most exuberant and enduringly popular works, filled with tragedy and comedy in equal measure. This edition uses the text of the first volume publication of 1850, and includes updated suggestions for further reading, original illustrations by 'Phiz', a revised chronology and expanded notes. In his new introduction, Jeremy Tambling discusses the novel's autobiographical elements, and its central themes of memory and identity.",NULL,https://www.goodreads.com/book/show/58696.David_Copperfield?from_search=true&from_srp=true&qid=JyNPGvGFVn&rank=1,78465,1,"820 / MET",NULL,0.00,₹,67,2,1220,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
750,"Much Ado About Nothing","William Shakespeare","Classics, Plays, Fiction, Drama, Romance, Academic, School, Plays, Theatre, Literature, Humor, Humor, Comedy"," Shakespeare includes two quite different stories of romantic love. Hero and Claudio fall in love almost at first sight, but an outsider, Don John, strikes out at their happiness. Beatrice and Benedick are kept apart by pride and mutual antagonism until others decide to play Cupid.",NULL,https://www.goodreads.com/book/show/12957.Much_Ado_About_Nothing?from_search=true&from_srp=true&qid=H3GOo2A9Ji&rank=1,78466,1,"820 / MET",NULL,0.00,₹,44,2,1221,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
751,"Sam's Song","Schoonover Shirley",,NULL,NULL,https://www.goodreads.com/book/show/6607856-sam-s-song?from_search=true&from_srp=true&qid=wNWr42K2Wy&rank=9,78467,1,"823 / SCH","Pyramid, N  York ",7.40,₹,158,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
752,Thunderball,"Fleming Ian","Fiction, Thriller, Spy Thriller, Espionage, Adventure, Mystery, Thriller, Spy Thriller, Thriller, Mystery Thriller, Classics, Action, European Literature, British Literature",""The girl looked him up and down. He had dark, rather cruel good looks and very clear, blue-grey eyes. He was wearing a very dark-blue lightweight single-breasted suit over a cream silk shirt and a black knitted silk tie. Despite the heat, he looked cool and clean. 'And who might you be?' she asked sharply. 'My name's Bond, James Bond ...'"",NULL,https://www.goodreads.com/book/show/177194.Thunderball?from_search=true&from_srp=true&qid=EAef5aTkU2&rank=1,78468,1,"823 / FLE","Signet, N  York ",3.00,₹,188,2,950,5,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
753,"The Golden Lotus - II","Egerton Clement",NULL,NULL,NULL,NULL,78469,1,"823 / EGE","R  & K  Poul, London ",0.00,₹,376,2,950,4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
